No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed
16,Pidgey,Pidgey,1,0.3m,1.8kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,255,50,1059860,Ordinary,,,40,45,40,35,35,56,251,0,0,0,0,0,1
17,Pidgeotto,Pidgeotto,1,1.1m,30.0kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,120,122,1059860,Ordinary,,,63,60,55,50,50,71,349,0,0,0,0,0,2
18,Pidgeot,Pidgeot,1,1.5m,39.5kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,45,240,1059860,Ordinary,,,83,80,75,70,70,101,479,0,0,0,0,0,3
18,Pidgeot,Mega Pidgeot,1,2.2m,50.5kg,Normal,Flying,No Guard,,,Brown,50,50,0,15,Flying,,45,261,1059860,Ordinary,Mega,,83,80,80,135,80,121,579,0,0,0,0,0,3
19,Rattata,Rattata,1,0.3m,3.5kg,Normal,,Run Away,Guts,Hustle,Purple,50,50,0,15,Ground,,255,51,1000000,Ordinary,,,30,56,35,25,35,72,253,0,0,0,0,0,1
19,Rattata,Alolan Rattata,1,0.3m,3.8kg,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,255,51,1000000,Ordinary,,Alolan,30,56,35,25,35,72,253,0,0,0,0,0,1
20,Raticate,Raticate,1,0.7m,18.5kg,Normal,,Run Away,Guts,Hustle,Brown,50,50,0,15,Ground,,127,145,1000000,Ordinary,,,55,81,60,50,70,97,413,0,0,0,0,0,2
20,Raticate,Alolan Raticate,1,0.7m,25.5kg,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,127,145,1000000,Ordinary,,Alolan,75,71,70,40,80,77,413,0,0,0,0,0,2
21,Spearow,Spearow,1,0.3m,2.0kg,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,255,52,1000000,Ordinary,,,40,60,30,31,31,70,262,0,0,0,0,0,1
22,Fearow,Fearow,1,1.2m,38.0kg,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,90,155,1000000,Ordinary,,,65,90,65,61,61,100,442,0,0,0,0,0,2
23,Ekans,Ekans,1,2.0m,6.9kg,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,255,58,1000000,Ordinary,,,35,60,44,40,54,55,288,0,1,0,0,0,0
24,Arbok,Arbok,1,3.5m,65.0kg,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,90,157,1000000,Ordinary,,,60,95,69,65,79,80,448,0,2,0,0,0,0
25,Pikachu,Pikachu,1,0.4m,6.0kg,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,190,112,1000000,Ordinary,,,35,55,40,50,50,90,320,0,0,0,0,0,2
26,Raichu,Raichu,1,0.8m,30.0kg,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,,60,90,55,90,80,110,485,0,0,0,0,0,3
26,Raichu,Alolan Raichu,1,0.7m,21.0kg,Electric,Psychic,Surge Surfer,,,Brown,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,Alolan,60,85,50,95,85,110,485,0,0,0,0,0,3
27,Sandshrew,Sandshrew,1,0.6m,12.0kg,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,255,60,1000000,Ordinary,,,50,75,85,20,30,40,300,0,0,1,0,0,0
27,Sandshrew,Alolan Sandshrew,1,0.7m,40.0kg,Ice,Steel,Snow Cloak,,Slush Rush,White,50,50,0,20,Ground,,255,60,1000000,Ordinary,,Alolan,50,75,90,10,35,40,300,0,0,1,0,0,0
28,Sandslash,Sandslash,1,1.0m,29.5kg,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,90,158,1000000,Ordinary,,,75,100,110,45,55,65,450,0,0,2,0,0,0
28,Sandslash,Alolan Sandslash,1,1.2m,55.0kg,Ice,Steel,Snow Cloak,,Slush Rush,Blue,50,50,0,20,Ground,,90,158,1000000,Ordinary,,Alolan,75,100,120,25,65,65,450,0,0,2,0,0,0
29,Nidoran F,Nidoran F,1,0.4m,7.0kg,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Monster,Ground,235,55,1059860,Ordinary,,,55,47,52,40,40,41,275,1,0,0,0,0,0
30,Nidorina,Nidorina,1,0.8m,20.0kg,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Undiscovered,,120,128,1059860,Ordinary,,,70,62,67,55,55,56,365,2,0,0,0,0,0
31,Nidoqueen,Nidoqueen,1,1.3m,60.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0,100,0,20,Undiscovered,,45,253,1059860,Ordinary,,,90,92,87,75,85,76,505,3,0,0,0,0,0
32,Nidoran M,Nidoran M,1,0.5m,9.0kg,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,235,55,1059860,Ordinary,,,46,57,40,40,40,50,273,0,1,0,0,0,0
33,Nidorino,Nidorino,1,0.9m,19.5kg,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,120,128,1059860,Ordinary,,,61,72,57,55,55,65,365,0,2,0,0,0,0
34,Nidoking,Nidoking,1,1.4m,62.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100,0,0,20,Monster,Ground,45,253,1059860,Ordinary,,,81,102,77,85,75,85,505,0,3,0,0,0,0
35,Clefairy,Clefairy,1,0.6m,7.5kg,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25,75,0,10,Fairy,,150,113,800000,Ordinary,,,70,45,48,60,65,35,323,2,0,0,0,0,0
36,Clefable,Clefable,1,1.3m,40.0kg,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25,75,0,10,Fairy,,25,242,800000,Ordinary,,,95,70,73,95,90,60,483,3,0,0,0,0,0
37,Vulpix,Vulpix,1,0.6m,9.9kg,Fire,,Flash Fire,,Drought,Brown,25,75,0,20,Ground,,190,60,1000000,Ordinary,,,38,41,40,50,65,65,299,0,0,0,0,0,1
37,Vulpix,Alolan Vulpix,1,0.6m,9.9kg,Ice,,Snow Cloak,,Snow Warning,White,25,75,0,20,Ground,,190,60,1000000,Ordinary,,Alolan,38,41,40,50,65,65,299,0,0,0,0,0,1
38,Ninetales,Ninetales,1,1.1m,19.9kg,Fire,,Flash Fire,,Drought,Yellow,25,75,0,20,Ground,,75,177,1000000,Ordinary,,,73,76,75,81,100,100,505,0,0,0,0,1,1
38,Ninetales,Alolan Ninetales,1,1.1m,19.9kg,Ice,Fairy,Snow Cloak,,Snow Warning,Blue,25,75,0,20,Ground,,75,177,1000000,Ordinary,,Alolan,73,67,75,81,100,109,505,0,0,0,0,0,2
39,Jigglypuff,Jigglypuff,1,0.5m,5.5kg,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25,75,0,10,Fairy,,170,95,800000,Ordinary,,,115,45,20,45,25,20,270,2,0,0,0,0,0
40,Wigglytuff,Wigglytuff,1,1.0m,12.0kg,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25,75,0,10,Fairy,,50,218,800000,Ordinary,,,140,70,45,85,50,45,435,3,0,0,0,0,0
41,Zubat,Zubat,1,0.8m,7.5kg,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,255,49,1000000,Ordinary,,,40,45,35,30,40,55,245,0,0,0,0,0,1
42,Golbat,Golbat,1,1.6m,55.0kg,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,90,159,1000000,Ordinary,,,75,80,70,65,75,90,455,0,0,0,0,0,2
43,Oddish,Oddish,1,0.5m,5.4kg,Grass,Poison,Chlorophyll,,Run Away,Blue,50,50,0,20,Grass,,255,64,1059860,Ordinary,,,45,50,55,75,65,30,320,0,0,0,1,0,0
44,Gloom,Gloom,1,0.8m,8.6kg,Grass,Poison,Chlorophyll,,Stench,Blue,50,50,0,20,Grass,,120,138,1059860,Ordinary,,,60,65,70,85,75,40,395,0,0,0,2,0,0
45,Vileplume,Vileplume,1,1.2m,18.6kg,Grass,Poison,Chlorophyll,,Effect Spore,Red,50,50,0,20,Grass,,45,245,1059860,Ordinary,,,75,80,85,110,90,50,490,0,0,0,3,0,0
46,Paras,Paras,1,0.3m,5.4kg,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,190,57,1000000,Ordinary,,,35,70,55,45,55,25,285,0,1,0,0,0,0
47,Parasect,Parasect,1,1.0m,29.5kg,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,75,142,1000000,Ordinary,,,60,95,80,60,80,30,405,0,2,1,0,0,0
48,Venonat,Venonat,1,1.0m,30.0kg,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50,50,0,20,Bug,,190,61,1000000,Ordinary,,,60,55,50,40,55,45,305,0,0,0,0,1,0
49,Venomoth,Venomoth,1,1.5m,12.5kg,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50,50,0,20,Bug,,75,158,1000000,Ordinary,,,70,65,60,90,75,90,450,0,0,0,1,0,1
50,Diglett,Diglett,1,0.2m,0.8kg,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,,10,55,25,35,45,95,265,0,0,0,0,0,1
50,Diglett,Alolan Diglett,1,0.2m,1.0kg,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,Alolan,10,55,30,35,45,90,265,0,0,0,0,0,1
51,Dugtrio,Dugtrio,1,0.7m,33.3kg,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,,35,100,50,50,70,120,425,0,0,0,0,0,2
51,Dugtrio,Alolan Dugtrio,1,0.7m,66.6kg,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,Alolan,35,100,60,50,70,110,425,0,2,0,0,0,0
52,Meowth,Meowth,1,0.4m,4.2kg,Normal,,Pickup,Technician,Unnerve,Yellow,50,50,0,20,Ground,,255,58,1000000,Ordinary,,,40,45,35,40,40,90,290,0,0,0,0,0,1
52,Meowth,Alolan Meowth,1,0.4m,4.2kg,Dark,,Pickup,Technician,Rattled,Blue,50,50,0,20,Ground,,255,58,1000000,Ordinary,,Alolan,40,35,35,50,40,90,290,0,0,0,0,0,1
52,Meowth,Galarian Meowth,1,0.4m,7.5kg,Steel,,Pickup,Tough Claws,Unnerve,Brown,50,50,0,20,Ground,,255,58,1000000,Ordinary,,Galarian,50,65,55,40,40,40,290,0,1,0,0,0,0
53,Persian,Persian,1,1.0m,32.0kg,Normal,,Limber,Technician,Unnerve,Yellow,50,50,0,20,Ground,,90,154,1000000,Ordinary,,,65,70,60,65,65,115,440,0,0,0,0,0,2
53,Persian,Alolan Persian,1,1.1m,33.0kg,Dark,,Fur Coat,Technician,Rattled,Blue,50,50,0,20,Ground,,90,154,1000000,Ordinary,,Alolan,65,60,60,75,65,115,440,0,0,0,0,0,2
54,Psyduck,Psyduck,1,0.8m,19.6kg,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50,50,0,20,Water1,Ground,190,64,1000000,Ordinary,,,50,52,48,65,50,55,320,0,0,0,1,0,0
55,Golduck,Golduck,1,1.7m,76.6kg,Water,,Damp,Cloud Nine,Swift Swim,Blue,50,50,0,20,Water1,Ground,75,175,1000000,Ordinary,,,80,82,78,95,80,85,500,0,0,0,2,0,0
56,Mankey,Mankey,1,0.5m,28.0kg,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,190,61,1000000,Ordinary,,,40,80,35,35,45,70,305,0,1,0,0,0,0
57,Primeape,Primeape,1,1.0m,32.0kg,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,75,159,1000000,Ordinary,,,65,105,60,60,70,95,455,0,2,0,0,0,0
58,Growlithe,Growlithe,1,0.7m,19.0kg,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,,,55,70,45,70,50,60,350,0,1,0,0,0,0
58,Growlithe,Hisuian Growlithe,1,0.8m,22.7kg,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,,Hisuian,60,75,45,65,50,55,350,0,1,0,0,0,0
59,Arcanine,Arcanine,1,1.9m,155.0kg,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,,,90,110,80,100,80,95,555,0,2,0,0,0,0
59,Arcanine,Hisuian Arcanine,1,2.0m,168.0kg,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,,Hisuian,95,115,80,95,80,90,555,0,2,0,0,0,0
60,Poliwag,Poliwag,1,0.6m,12.4kg,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,255,60,1059860,Ordinary,,,40,50,40,40,40,90,300,0,0,0,0,0,1
61,Poliwhirl,Poliwhirl,1,1.0m,20.0kg,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,120,135,1059860,Ordinary,,,65,65,65,50,50,90,385,0,0,0,0,0,2
62,Poliwrath,Poliwrath,1,1.3m,54.0kg,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,45,255,1059860,Ordinary,,,90,95,95,70,90,70,510,0,0,3,0,0,0
63,Abra,Abra,1,0.9m,19.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,200,62,1059860,Ordinary,,,25,20,15,105,55,90,310,0,0,0,1,0,0
64,Kadabra,Kadabra,1,1.3m,56.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,100,140,1059860,Ordinary,,,40,35,30,120,70,105,400,0,0,0,2,0,0
65,Alakazam,Alakazam,1,1.5m,48.0kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,50,250,1059860,Ordinary,,,55,50,45,135,95,120,500,0,0,0,3,0,0
65,Alakazam,Mega Alakazam,1,1.2m,48.0kg,Psychic,,Trace,,,Brown,75,25,0,20,Human-Like,,50,270,1059860,Ordinary,Mega,,55,50,65,175,105,150,600,0,0,0,3,0,0
66,Machop,Machop,1,0.8m,19.5kg,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,180,61,1059860,Ordinary,,,70,80,50,35,35,35,305,0,1,0,0,0,0
67,Machoke,Machoke,1,1.5m,70.5kg,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,90,142,1059860,Ordinary,,,80,100,70,50,60,45,405,0,2,0,0,0,0
68,Machamp,Machamp,1,1.6m,130.0kg,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,45,253,1059860,Ordinary,,,90,130,80,65,85,55,505,0,3,0,0,0,0
69,Bellsprout,Bellsprout,1,0.7m,4.0kg,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,255,60,1059860,Ordinary,,,50,75,35,70,30,40,300,0,1,0,0,0,0
70,Weepinbell,Weepinbell,1,1.0m,6.4kg,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,120,137,1059860,Ordinary,,,65,90,50,85,45,55,390,0,2,0,0,0,0
71,Victreebel,Victreebel,1,1.7m,15.5kg,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,45,245,1059860,Ordinary,,,80,105,65,100,70,70,490,0,3,0,0,0,0
72,Tentacool,Tentacool,1,0.9m,45.5kg,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,190,67,1250000,Ordinary,,,40,40,35,50,100,70,335,0,0,0,0,1,0
73,Tentacruel,Tentacruel,1,1.6m,55.0kg,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,60,180,1250000,Ordinary,,,80,70,65,80,120,100,515,0,0,0,0,2,0
74,Geodude,Geodude,1,0.4m,20.0kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,255,60,1059860,Ordinary,,,40,80,100,30,30,20,300,0,0,1,0,0,0
74,Geodude,Alolan Geodude,1,0.4m,20.3kg,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,255,60,1059860,Ordinary,,Alolan,40,80,100,30,30,20,300,0,0,1,0,0,0
75,Graveler,Graveler,1,1.0m,105.0kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,120,137,1059860,Ordinary,,,55,95,115,45,45,35,390,0,0,2,0,0,0
75,Graveler,Alolan Graveler,1,1.0m,110.0kg,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,120,137,1059860,Ordinary,,Alolan,55,95,115,45,45,35,390,0,0,2,0,0,0
76,Golem,Golem,1,1.4m,300.0kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,45,223,1059860,Ordinary,,,80,120,130,55,65,45,495,0,0,3,0,0,0
76,Golem,Alolan Golem,1,1.7m,316.0kg,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,45,223,1059860,Ordinary,,Alolan,80,120,130,55,65,45,495,0,0,3,0,0,0
77,Ponyta,Ponyta,1,1.0m,30.0kg,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,190,82,1000000,Ordinary,,,50,85,55,65,65,90,410,0,0,0,0,0,1
77,Ponyta,Galarian Ponyta,1,0.8m,24.0kg,Psychic,,Run Away,Pastel Veil,Anticipation,White,50,50,0,20,Ground,,190,82,1000000,Ordinary,,Galarian,50,85,55,65,65,90,410,0,0,0,0,0,1
78,Rapidash,Rapidash,1,1.7m,95.0kg,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,60,175,1000000,Ordinary,,,65,100,70,80,80,105,500,0,0,0,0,0,2
78,Rapidash,Galarian Rapidash,1,1.7m,80.0kg,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,White,50,50,0,20,Ground,,60,175,1000000,Ordinary,,Galarian,65,100,70,80,80,105,500,0,0,0,0,0,2
79,Slowpoke,Slowpoke,1,1.2m,36.0kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,190,63,1000000,Ordinary,,,90,65,65,40,40,15,315,1,0,0,0,0,0
79,Slowpoke,Galarian Slowpoke,1,1.2m,36.0kg,Psychic,,Gluttony,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,190,63,1000000,Ordinary,,Galarian,90,65,65,40,40,15,315,1,0,0,0,0,0
80,Slowbro,Slowbro,1,1.6m,78.5kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,75,172,1000000,Ordinary,,,95,75,110,100,80,30,490,0,0,2,0,0,0
80,Slowbro,Galarian Slowbro,1,1.6m,70.5kg,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,75,172,1000000,Ordinary,,Galarian,95,100,95,100,70,30,490,0,2,0,0,0,0
80,Slowbro,Mega Slowbro,1,2.0m,120.0kg,Water,Psychic,Shell Armor,,,Pink,50,50,0,20,Monster,Water1,75,207,1000000,Ordinary,Mega,,95,75,180,130,80,30,590,0,0,2,0,0,0
81,Magnemite,Magnemite,1,0.3m,6.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,190,65,1000000,Ordinary,,,25,35,70,95,55,45,325,0,0,0,1,0,0
82,Magneton,Magneton,1,1.0m,60.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,60,163,1000000,Ordinary,,,50,60,95,120,70,70,465,0,0,0,2,0,0
83,Farfetch'd,Farfetch'd,1,0.8m,15.0kg,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,50,50,0,20,Flying,Ground,45,132,1000000,Ordinary,,,52,90,55,58,62,60,377,0,1,0,0,0,0
83,Farfetch'd,Galarian Farfetch'd,1,0.8m,42.0kg,Fighting,,Steadfast,,Scrappy,Brown,50,50,0,20,Flying,Ground,45,132,1000000,Ordinary,,Galarian,52,95,55,58,62,55,377,0,1,0,0,0,0
84,Doduo,Doduo,1,1.4m,39.2kg,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,190,62,1000000,Ordinary,,,35,85,45,35,35,75,310,0,1,0,0,0,0
85,Dodrio,Dodrio,1,1.8m,85.2kg,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,45,165,1000000,Ordinary,,,60,110,70,60,60,110,470,0,2,0,0,0,0
86,Seel,Seel,1,1.1m,90.0kg,Water,,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,190,65,1000000,Ordinary,,,65,45,55,45,70,45,325,0,0,0,0,1,0
87,Dewgong,Dewgong,1,1.7m,120.0kg,Water,Ice,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,75,166,1000000,Ordinary,,,90,70,80,70,95,70,475,0,0,0,0,2,0
88,Grimer,Grimer,1,0.9m,30.0kg,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,190,65,1000000,Ordinary,,,80,80,50,40,50,25,325,1,0,0,0,0,0
88,Grimer,Alolan Grimer,1,0.7m,42.0kg,Poison,Dark,Poison Touch,Gluttony,Power of Alchemy,Green,50,50,0,20,Amorphous,,190,65,1000000,Ordinary,,Alolan,80,80,50,40,50,25,325,1,0,0,0,0,0
89,Muk,Muk,1,1.2m,30.0kg,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,75,175,1000000,Ordinary,,,105,105,75,65,100,50,500,1,1,0,0,0,0
