ID: 424 ID: 424 | Name: Pansage | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 10.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 316
ID: 832 ID: 832 | Name: Cleffa | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.3m | Weight: 3.0kg | Type: [Fairy, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 218
ID: 374 ID: 374 | Name: Pheromosa | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 1.8m | Weight: 25.0kg | Type: [Bug, Fighting] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 570
ID: 730 ID: 730 | Name: Mega Pidgeot | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 2.2m | Weight: 50.5kg | Type: [Normal, Flying] | Category: Ordinary | Mega Evolution: true | TOTAL: 579
ID: 821 ID: 821 | Name: Blastoise | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.6m | Weight: 85.5kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 891 ID: 891 | Name: Nymble | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.2m | Weight: 1.0kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 210
ID: 331 ID: 331 | Name: Surskit | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.5m | Weight: 1.7kg | Type: [Bug, Water] | Category: Ordinary | Mega Evolution: false | TOTAL: 269
ID: 778 ID: 778 | Name: Bergmite | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.0m | Weight: 99.5kg | Type: [Ice, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 304
ID: 167 ID: 167 | Name: Zorua | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.7m | Weight: 12.5kg | Type: [Dark, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 330
ID: 727 ID: 727 | Name: Gligar | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.1m | Weight: 64.8kg | Type: [Ground, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 430
ID: 849 ID: 849 | Name: Turtonator | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 2.0m | Weight: 212.0kg | Type: [Fire, Dragon] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 673 ID: 673 | Name: Sandshrew | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.6m | Weight: 12.0kg | Type: [Ground, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 300
ID: 1118 ID: 1118 | Name: Jellicent | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 2.2m | Weight: 135.0kg | Type: [Water, Ghost] | Category: Ordinary | Mega Evolution: false | TOTAL: 480
ID: 889 ID: 889 | Name: Kingler | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.3m | Weight: 60.0kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 475
ID: 1085 ID: 1085 | Name: Falinks | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 3.0m | Weight: 62.0kg | Type: [Fighting, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 1026 ID: 1026 | Name: Diggersby | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.0m | Weight: 42.4kg | Type: [Normal, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 423
ID: 89 ID: 89 | Name: Giratina | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 4.5m | Weight: 750.0kg | Type: [Ghost, Dragon] | Category: Legendary | Mega Evolution: false | TOTAL: 680
ID: 454 ID: 454 | Name: Keldeo Resolute Form | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.4m | Weight: 48.5kg | Type: [Water, Fighting] | Category: Mythical | Mega Evolution: false | TOTAL: 580
ID: 617 ID: 617 | Name: Minior Blue Core | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.3m | Weight: 0.3kg | Type: [Rock, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 500
ID: 944 ID: 944 | Name: Ralts | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.4m | Weight: 6.6kg | Type: [Psychic, Fairy] | Category: Ordinary | Mega Evolution: false | TOTAL: 198
ID: 249 ID: 249 | Name: Hisuian Lilligant | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.2m | Weight: 19.2kg | Type: [Grass, Fighting] | Category: Ordinary | Mega Evolution: false | TOTAL: 480
ID: 991 ID: 991 | Name: Audino | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.1m | Weight: 31.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 445
ID: 414 ID: 414 | Name: Farfetch'd | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.8m | Weight: 15.0kg | Type: [Normal, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 377
ID: 972 ID: 972 | Name: Miltank | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.2m | Weight: 75.5kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 371 ID: 371 | Name: Appletun | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.4m | Weight: 13.0kg | Type: [Grass, Dragon] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 279 ID: 279 | Name: Lanturn | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.2m | Weight: 22.5kg | Type: [Water, Electric] | Category: Ordinary | Mega Evolution: false | TOTAL: 460
ID: 914 ID: 914 | Name: Hisuian Braviary | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.7m | Weight: 43.4kg | Type: [Psychic, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 510
ID: 820 ID: 820 | Name: Eldegoss | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.5m | Weight: 2.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 460
ID: 563 ID: 563 | Name: Oinkologne | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.0m | Weight: 120.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 489
ID: 1069 ID: 1069 | Name: Inteleon | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 1.9m | Weight: 45.2kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 721 ID: 721 | Name: Gliscor | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 2.0m | Weight: 42.5kg | Type: [Ground, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 510
ID: 1065 ID: 1065 | Name: Poipole | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.6m | Weight: 1.8kg | Type: [Poison, ] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 420
ID: 74 ID: 74 | Name: Mawile | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.6m | Weight: 11.5kg | Type: [Steel, Fairy] | Category: Ordinary | Mega Evolution: false | TOTAL: 380
ID: 233 ID: 233 | Name: Hatenna | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.4m | Weight: 3.4kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 265
ID: 300 ID: 300 | Name: Dragonite | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 2.2m | Weight: 210.0kg | Type: [Dragon, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 600
ID: 949 ID: 949 | Name: Talonflame | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.2m | Weight: 24.5kg | Type: [Fire, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 499
ID: 337 ID: 337 | Name: Misdreavus | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.7m | Weight: 1.0kg | Type: [Ghost, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 435
ID: 76 ID: 76 | Name: Simisage | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.1m | Weight: 30.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 498
ID: 46 ID: 46 | Name: Skarmory | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.7m | Weight: 50.5kg | Type: [Steel, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 465
ID: 931 ID: 931 | Name: Alolan Raticate | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.7m | Weight: 25.5kg | Type: [Dark, Normal] | Category: Ordinary | Mega Evolution: false | TOTAL: 413
ID: 25 ID: 25 | Name: Mega Charizard X | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.7m | Weight: 110.5kg | Type: [Fire, Dragon] | Category: Ordinary | Mega Evolution: true | TOTAL: 634
ID: 232 ID: 232 | Name: Ambipom | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.2m | Weight: 20.3kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 482
ID: 809 ID: 809 | Name: Leafeon | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.0m | Weight: 25.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 525
ID: 122 ID: 122 | Name: Volcanion | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 1.7m | Weight: 195.0kg | Type: [Fire, Water] | Category: Mythical | Mega Evolution: false | TOTAL: 600
ID: 489 ID: 489 | Name: Mega Glalie | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 2.1m | Weight: 350.2kg | Type: [Ice, ] | Category: Ordinary | Mega Evolution: true | TOTAL: 580
ID: 202 ID: 202 | Name: Camerupt | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.9m | Weight: 220.0kg | Type: [Fire, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 460
ID: 988 ID: 988 | Name: Poochyena | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.5m | Weight: 13.6kg | Type: [Dark, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 220
ID: 372 ID: 372 | Name: Swampert | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.5m | Weight: 81.9kg | Type: [Water, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 535
ID: 708 ID: 708 | Name: Gourgeist Average | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.7m | Weight: 9.5kg | Type: [Ghost, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 494
ID: 1125 ID: 1125 | Name: Shelmet | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.4m | Weight: 7.7kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 305
ID: 303 ID: 303 | Name: Tynamo | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.2m | Weight: 0.3kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 275
ID: 51 ID: 51 | Name: Minior Green Core | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.3m | Weight: 0.3kg | Type: [Rock, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 500
ID: 134 ID: 134 | Name: Banette | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.1m | Weight: 12.5kg | Type: [Ghost, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 455
ID: 446 ID: 446 | Name: Exeggutor | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 2.0m | Weight: 120.0kg | Type: [Grass, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 10 ID: 10 | Name: Rowlet | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.3m | Weight: 1.5kg | Type: [Grass, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 320
ID: 69 ID: 69 | Name: Gossifleur | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.4m | Weight: 2.2kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 250
ID: 504 ID: 504 | Name: Musharna | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.1m | Weight: 60.5kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 487
ID: 399 ID: 399 | Name: Mega Latias | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.8m | Weight: 52.0kg | Type: [Dragon, Psychic] | Category: Semi-Legendary | Mega Evolution: true | TOTAL: 700
ID: 187 ID: 187 | Name: Nidoran M | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.5m | Weight: 9.0kg | Type: [Poison, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 273
ID: 354 ID: 354 | Name: Bulbasaur | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.7m | Weight: 6.9kg | Type: [Grass, Poison] | Category: Ordinary | Mega Evolution: false | TOTAL: 318
ID: 973 ID: 973 | Name: Thwackey | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.7m | Weight: 14.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 1112 ID: 1112 | Name: Elekid | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.6m | Weight: 23.5kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 360
ID: 313 ID: 313 | Name: Latias | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.4m | Weight: 40.0kg | Type: [Dragon, Psychic] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 600
ID: 722 ID: 722 | Name: Fomantis | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.3m | Weight: 1.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 250
ID: 909 ID: 909 | Name: Hisuian Zoroark | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.6m | Weight: 73.0kg | Type: [Normal, Ghost] | Category: Ordinary | Mega Evolution: false | TOTAL: 510
ID: 449 ID: 449 | Name: Zamazenta Hero of Many Battles | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 2.9m | Weight: 210.0kg | Type: [Fighting, ] | Category: Legendary | Mega Evolution: false | TOTAL: 660
ID: 494 ID: 494 | Name: Xurkitree | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 3.8m | Weight: 100.0kg | Type: [Electric, ] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 570
ID: 597 ID: 597 | Name: Litwick | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.3m | Weight: 3.1kg | Type: [Ghost, Fire] | Category: Ordinary | Mega Evolution: false | TOTAL: 275
ID: 655 ID: 655 | Name: Flapple | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.3m | Weight: 1.0kg | Type: [Grass, Dragon] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 814 ID: 814 | Name: Carvanha | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.8m | Weight: 20.8kg | Type: [Water, Dark] | Category: Ordinary | Mega Evolution: false | TOTAL: 305
ID: 970 ID: 970 | Name: Deerling Spring Form | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 19.5kg | Type: [Normal, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 335
ID: 173 ID: 173 | Name: Sawk | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.4m | Weight: 51.0kg | Type: [Fighting, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 465
ID: 157 ID: 157 | Name: Deerling Autumn Form | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 19.5kg | Type: [Normal, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 335
ID: 1001 ID: 1001 | Name: Yamask | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.5m | Weight: 1.5kg | Type: [Ghost, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 303
ID: 897 ID: 897 | Name: Mareanie | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.4m | Weight: 8.0kg | Type: [Poison, Water] | Category: Ordinary | Mega Evolution: false | TOTAL: 305
ID: 846 ID: 846 | Name: Toxapex | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 0.7m | Weight: 14.5kg | Type: [Poison, Water] | Category: Ordinary | Mega Evolution: false | TOTAL: 495
ID: 793 ID: 793 | Name: Cherrim Sunshine Form | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.5m | Weight: 9.3kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 450
ID: 826 ID: 826 | Name: Emolga | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.4m | Weight: 5.0kg | Type: [Electric, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 428
ID: 649 ID: 649 | Name: Sceptile | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.7m | Weight: 52.2kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 684 ID: 684 | Name: Bidoof | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.5m | Weight: 20.0kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 250
ID: 1007 ID: 1007 | Name: Araquanid | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 1.8m | Weight: 82.0kg | Type: [Water, Bug] | Category: Ordinary | Mega Evolution: false | TOTAL: 454
ID: 62 ID: 62 | Name: Espeon | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.9m | Weight: 26.5kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 525
ID: 1078 ID: 1078 | Name: Pinsir | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.5m | Weight: 55.0kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 500
ID: 85 ID: 85 | Name: Gourgeist Small | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.9m | Weight: 12.5kg | Type: [Ghost, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 494
ID: 745 ID: 745 | Name: Milotic | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 6.2m | Weight: 162.0kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 540
ID: 628 ID: 628 | Name: Crobat | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.8m | Weight: 75.0kg | Type: [Poison, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 535
ID: 219 ID: 219 | Name: Chewtle | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 0.3m | Weight: 8.5kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 284
ID: 535 ID: 535 | Name: Hisuian Zorua | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.7m | Weight: 12.5kg | Type: [Normal, Ghost] | Category: Ordinary | Mega Evolution: false | TOTAL: 330
ID: 91 ID: 91 | Name: Phanpy | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.5m | Weight: 33.5kg | Type: [Ground, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 330
ID: 618 ID: 618 | Name: Aggron | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 2.1m | Weight: 360.0kg | Type: [Steel, Rock] | Category: Ordinary | Mega Evolution: false | TOTAL: 530
ID: 98 ID: 98 | Name: Pachirisu | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.4m | Weight: 3.9kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 405
ID: 270 ID: 270 | Name: Hakamo-o | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 1.2m | Weight: 47.0kg | Type: [Dragon, Fighting] | Category: Ordinary | Mega Evolution: false | TOTAL: 420
ID: 1059 ID: 1059 | Name: Arceus | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 3.2m | Weight: 320.0kg | Type: [Normal, ] | Category: Mythical | Mega Evolution: false | TOTAL: 720
ID: 304 ID: 304 | Name: Maushold | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.3m | Weight: 2.3kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 873 ID: 873 | Name: Pumpkaboo Super | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.8m | Weight: 15.0kg | Type: [Ghost, Grass] | Category: Ordinary | Mega Evolution: false | TOTAL: 335
ID: 20 ID: 20 | Name: Magcargo | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.8m | Weight: 55.0kg | Type: [Fire, Rock] | Category: Ordinary | Mega Evolution: false | TOTAL: 430
ID: 650 ID: 650 | Name: Eternamax Eternatus | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 100.0m | Weight: 0.0kg | Type: [Poison, Dragon] | Category: Legendary | Mega Evolution: false | TOTAL: 1125
ID: 938 ID: 938 | Name: Chien-Pao | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 1.9m | Weight: 152.2kg | Type: [Dark, Ice] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 570
ID: 223 ID: 223 | Name: Quilladin | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.7m | Weight: 29.0kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 405
ID: 895 ID: 895 | Name: Rhyperior | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 2.4m | Weight: 282.8kg | Type: [Ground, Rock] | Category: Ordinary | Mega Evolution: false | TOTAL: 535
ID: 986 ID: 986 | Name: Ampharos | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.4m | Weight: 61.5kg | Type: [Electric, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 510
ID: 1033 ID: 1033 | Name: Loudred | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 1.0m | Weight: 40.5kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 360
ID: 1124 ID: 1124 | Name: Rabsca | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.3m | Weight: 3.5kg | Type: [Bug, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 1158 ID: 1158 | Name: Hippowdon | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 2.0m | Weight: 300.0kg | Type: [Ground, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 525
ID: 1126 ID: 1126 | Name: Whiscash | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 0.9m | Weight: 23.6kg | Type: [Water, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 468
ID: 59 ID: 59 | Name: Slurpuff | Generation: Qui dez 12 23:10:48 BRST 2013 | Height: 0.8m | Weight: 5.0kg | Type: [Fairy, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 480
ID: 830 ID: 830 | Name: Tarountula | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.3m | Weight: 4.0kg | Type: [Bug, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 210
